e,wl,wp,ccq,phicq,Es
1.08,42.6,21.6,17,14,3.69
1.059,37.4,21.4,13,19,3.54
0.938,39.3,21.1,21,15.5,3.78
0.852,35.1,20.1,23,21.5,5.09
0.821,37.7,21.2,24,19.5,4.17
0.813,39.5,21,29,16,4.24
0.812,39.3,22.1,29,14,4.48
0.847,39.8,20.3,29,12.5,4.18
0.917,30.9,18.3,14,25.5,4.99
0.901,35.5,21.3,24,20.5,5.48
0.912,34,18.8,24,19,5.28
0.853,33.3,20.9,14,25,4.96
0.855,36,20.8,24,17,3.8
0.791,34.5,18.7,30,20.5,5.11
0.747,37.7,20,26,15.5,5.07
0.785,37.4,20.2,24,15.5,3.8
0.844,36.1,20.6,24,20.5,4.38
0.85,36.1,21.9,24,16,4.02
0.773,32.1,18.4,19,25,5.28
0.899,38.9,20.2,17,15,3.53
0.865,37.9,20.7,24,16,4.76
0.852,37.7,20.1,24,17.5,4.5
0.843,36.9,19.6,26,15.5,4.48
0.95,37.6,20.4,17,13.5,3.69
1.097,40.5,23.4,16,12.5,2.92
0.859,39,21.1,19,15,4.37
0.952,39.2,22,16,11.5,3.32
1.049,38.9,21.8,16,11.5,3.03
1.05,40,22.4,16,10,2.84
0.937,43.1,21.5,16,10.5,3.92
0.924,37.5,20.4,19,15.5,3.43
0.877,37.8,20.2,21,15.5,4
0.912,38,20.1,16,14,3.19
0.907,35.7,20.2,17,13.5,3.79
0.959,39.4,20.2,19,13.5,3.43
0.963,40.9,21.8,14,12.5,3.06
1.038,41.9,23.2,17,15.5,3
0.909,38.5,20.5,17,16,3.76
1.14,39.7,22.3,14,12.5,2.56
0.993,37.9,21.3,14,14,3.82
0.814,33.4,19.3,21,17.5,4.48
0.953,40.2,22.7,16,15.5,3.39
1.041,43.6,21,17,14,3.15
0.874,36.3,19.9,14,13.5,3.62
1.071,44,23.3,17,14,3.02
0.867,39.6,20.4,17,15.5,4.68
1.116,42.9,22.3,16,12.5,2.78
0.872,34.6,20.3,14,14,3.64
0.911,36.4,21.1,17,12,3.18
0.961,34.5,20,16,14,2.82
0.941,35.4,21.1,14,15.5,3.13
0.799,35.4,19.4,23,15.5,4.36
0.824,35.9,20.6,23,19.5,4.64
0.765,37.1,20.8,29,17.5,4.95
0.854,38.6,21.8,23,12.5,4.13
0.861,38.1,21.6,23,14,4.28
0.853,37.5,21,23,13.5,4.1
0.797,37,20.9,26,19.5,5.76
0.887,38.5,21.6,23,17,3.91
0.919,39.6,22.3,21,17,3.27
0.829,34.3,20,20,16,4.18
0.836,34.4,20.1,24,14,4.13
0.912,39.2,20.6,16,10.5,4.41
0.849,38.8,21.6,17,13.5,3.57
0.86,34.6,19.6,20,15.5,3.42
0.911,36,21.1,23,16,3.99
0.842,36.3,20.4,20,15,3.09
0.949,38.9,21.4,17,15,2.8
0.886,39.5,21.5,19,12.5,3.94
1.019,40,21.8,17,12.5,2.55
0.924,38.8,21.1,16,12.5,3.32
0.94,41,21.4,17,13.5,3.4
0.91,38.7,21.7,26,19,4.98
0.895,34,19.3,21,16,3.36
0.837,36.8,20,21,14,3.64
0.95,40.3,22.7,17,12.5,2.87
0.838,37,21.4,23,14,3.56
0.911,42.3,22.3,21,17,4.58
0.946,35.1,20.9,21,20.5,4.57
0.922,39.8,22.2,19,15,3.18
0.938,42.7,23.3,17,14,3.08
0.798,36.1,20.4,29,21,5.32
0.846,38.8,21.7,21,14,3.59
0.838,36.2,21.7,27,16,4.19
0.896,41.8,21.9,19,13.5,3.84
0.936,34.5,20.3,20,15.5,6.28
0.961,36.3,21.6,16,12,2.69
0.949,42.2,22.9,20,14,3.42
0.885,36.6,20.6,17,16,3.47
0.837,36.6,20.1,29,17,3.77
0.831,35,20.8,29,21.5,4.98
0.855,39.4,22,21,14,3.68
0.983,42.9,21.9,17,13.5,3.02
0.933,35.8,19.8,17,17,3.42
0.849,35.5,20.3,29,19.5,7.11
1.001,37.4,22.2,20,17,3.9
0.86,34.3,19.3,29,19,4.61
0.931,34,18.5,14,15,3.03
0.771,38.7,22,14,17.5,5.87
0.887,33.9,19.5,21,19.5,4.77
0.838,35.3,20.1,23,21.5,5.1
0.998,37.6,21.6,17,15.5,4.31
0.888,37.3,21.8,21,17.5,5.82
0.841,33.6,20.3,24,21.5,4.67
1.009,37.1,21.1,17,19.5,4.43
0.908,38.8,21.6,20,17,3.11
1.036,40.6,23.1,16,14,3.18
1.023,40.1,22.2,17,13.5,3.33
1.056,40.8,22.6,19,18.5,3.9
1.072,43.3,23.3,17,16,3.4
1.006,42.2,22.6,17,15.5,2.78
0.963,32.6,19,14,24,4.89
1.056,38.1,21.8,17,17,4.83
1.003,34.4,21.1,14,25,4.74
0.942,35.8,22.4,14,24,6.27
0.872,34.2,20.8,14,24,7.09
0.817,34.5,20.3,23,15,4.01
0.946,32.1,19.3,14,23,4.32
0.985,34.7,20.2,20,17.5,4.31
0.882,33.4,21.4,14,26,7.08
0.9,35.2,21.6,14,25,5.27
0.914,36.9,20.6,14,15.5,4.25
0.827,42.2,23,24,17.5,4.7
0.999,35,20,16,20.5,4.45
0.855,41.3,20.1,26,22.5,3.79
0.86,35.2,20.4,17,18.5,3.85
0.87,36.1,19.7,16,15,3.43
0.927,35,20.9,17,17.5,3.49
0.93,36.6,20.6,19,17.5,3.8
0.896,41.7,22.5,17,19,3.72
0.882,34.6,19.5,14,15,3.29
1.043,38.6,21.4,16,16,2.88
0.924,41.3,20.1,20,19,3.52
1.048,38.5,20.9,14,12.5,2.56
0.914,33.6,21.2,14,22.5,4.96
1.08,43.6,21.1,14,13.5,2.66
0.957,41.5,23.4,19,19,3.87
0.928,43.4,22.9,19,13.5,4.59
0.925,38.2,21.1,17,17,3.5
0.888,38.7,21.5,17,16,4.2
0.846,34.7,19.9,17,17.5,4.06
0.889,38.8,21.4,17,15.5,4.14
0.961,39.7,22.5,16,14,2.82
0.934,38.9,21.8,17,15,4.55
0.93,38,19.9,17,12.5,3.6
0.866,34.7,21.4,14,23.5,4.93
0.83,32.4,19.4,14,21.5,4.96
0.939,34.8,20.4,16,15,3.81
0.918,41.3,21.8,16,13.5,3.8
0.905,35.1,19.9,20,16,3.64
0.869,40.4,22.3,21,16,5.17
0.908,37.3,21.3,19,16,4.22
0.826,35.1,20.9,20,17,4.7
0.928,35,20.8,17,16,3.95
0.986,41.3,20.3,17,16,3.54
0.934,37.9,19.4,16,15.5,3.77
0.861,40.5,20.3,19,15,4.41
0.955,37.3,20.2,16,17,4.15
0.934,38,19.2,16,15,4.09
0.975,37.4,20,16,12.5,3.16
0.965,37.6,19.6,14,12.5,3.59
0.908,34.4,19,17,18.5,4.39
0.989,37.7,19.4,16,13.5,3.22
0.944,38.2,20.7,16,14,4.25
0.906,36.9,19.8,16,12,3.03
0.993,42.1,20.9,16,14,3.71
0.886,37.2,19.6,17,15.5,3.5
1.019,36.3,19,16,10,3.42
0.842,34.8,20.3,24,18.5,5.4
1.038,36.6,20.9,16,17,5.84
0.813,31.2,20.7,14,22.5,7.07
0.983,37.7,20.4,16,12.5,4
0.924,34.1,19.8,21,15,4.02
0.959,38.7,20.6,17,13.5,3.8
1.015,38.2,19.4,17,13.5,3.67
1.083,39.3,22.1,16,12.5,3.08
0.885,34.9,18.6,21,16,3.89
0.874,34.2,19.9,20,15,4.39
1.098,37.8,20.5,16,11.5,2.68
1.111,43.7,23.3,16,10,2.44
0.885,36.9,20,17,15,4.18
0.926,33.5,19.2,16,16,4.11
0.864,37.2,20,17,12,3.38
0.992,36.9,21.2,16,14,2.69
0.924,38.7,21.4,17,14,3.4
0.936,35.3,20.3,19,19.5,3.72
0.851,35.1,20.2,19,19,3.72
1.014,37.8,21,14,15.5,3.23
1.103,39.3,23.7,20,21.5,3.52
1.095,44,23.7,14,16,2.68
0.796,35.8,21.6,26,19.5,5.03
1.08,43.6,21.1,14,13.5,2.66
0.917,39.4,22.2,19,17.5,3.84
0.999,41.3,23.1,16,17.5,4.49
0.898,35.4,20.9,17,19,3.43
0.917,42.3,22.4,17,15.5,4.08
0.943,37.1,20.5,17,19,3.73
0.91,36.8,21.9,17,20.5,4.15
0.926,34.2,18.9,17,17,3.42
1.098,38.9,20.4,17,17,4.65
0.952,39.2,20.7,16,16,4.41
0.838,43.1,22.1,29,17.5,4.5
0.834,32.4,20.2,14,23.5,3.59
0.939,37.4,21.7,16,14,4.12
0.87,35.7,20.9,26,18.5,5.15
0.881,35.4,20.4,17,20.5,4.58
0.925,38.2,21.1,17,17,3.5
0.898,35.1,21,17,19.5,4.32
0.925,39.5,21.2,16,15,3.07
0.897,37,20,17,14,4.9
0.81,35.2,19.4,21,22.5,4.15
0.958,38.6,21.3,17,14,3.22
0.81,35.3,20.7,29,18.5,4.64
0.908,36.2,20.8,17,17.5,2.49
0.842,35.1,20.2,29,17,5.5
0.855,34.7,19.4,26,16,4.08
0.922,37.5,20.3,16,13.5,3.94
0.8,35.9,20.8,29,16,4.97
0.946,35,19.9,19,19.5,3.95
1,38.8,21.1,16,12,3.21
0.96,38.6,20.6,16,12.5,3.07
1.084,38.2,20.9,16,15,2.81
0.943,38.4,21.1,17,16,3.48
0.813,42,23.3,23,16,4.1
0.927,38.9,21,26,12.5,3.19
1.069,41.8,22.6,16,12.5,3.08
0.97,34.2,20.3,16,13.5,3.89
1.09,44.5,23,16,12.5,3.63
0.824,40.1,20.7,29,15.5,4.93
0.896,38.8,20.2,17,15.5,4.46
0.927,42.2,23.5,19,15.5,4.62
0.809,42.7,22.2,29,15,5.02
0.967,40.2,21.2,16,17,4.34
0.804,38.2,20.4,29,17.5,4.89
0.968,40.4,22.7,17,15.5,3.63
0.846,38.4,21.3,29,16,4.32
0.845,39.6,22.3,29,17,4.74
0.985,39.9,21.5,19,14,3.95
0.888,39.4,22.2,29,15.5,4.92
0.921,35.6,20.9,17,15,3.63
1.008,37.9,20.5,16,13.5,3.58
0.953,38.8,19.8,17,17,3.59
0.934,39.2,21.4,17,12.5,3.89
0.982,39.3,21.1,16,13.5,2.9
1.055,38.6,21.3,14,12.5,3.28
0.79,37.2,21.3,29,17.5,5.41
0.911,39.7,22.8,17,17.5,4.16
1.035,37.7,21.1,14,15,3.4
0.999,37.3,20.1,16,12.5,3.06
0.773,38,21.5,29,17,4.91
0.869,43.7,22.4,19,18.5,4.16
0.869,42.2,20.4,26,15.5,4.65
0.949,34.6,19.5,17,16,3.68
0.871,31.6,18.5,14,27,6.62
0.871,39.9,21.3,26,14,3.47
0.871,38.8,20.3,24,12.5,3.79
0.918,41.4,19.6,21,14,3.65
0.95,32,18.1,13,23,2.97
0.919,41.2,20.3,21,14,3.33
0.905,38.3,20.7,17,12.5,3.01
0.951,38.6,21.1,17,12,3.1
0.96,42.4,21.5,19,14,3.2
0.946,39.5,21.3,17,13.5,2.89
0.984,43.4,22.3,17,13.5,2.51
0.935,38.4,20.8,21,12.5,3.66
1.072,43.3,21.2,16,12,2.38
0.921,38.1,20.8,17,11.5,3.38
0.948,38.2,20.3,21,12.5,3.92
1.011,38.3,20.8,21,12.5,3.17
0.888,41.5,22.1,26,12.5,3.83
0.96,40.1,22.3,20,13.5,3.07
0.948,38.4,20,23,12.5,2.91
0.879,40.7,20.4,29,15.5,3.64
0.998,38.1,20.9,17,12.5,3.46
1.056,37.6,19.9,17,10.5,3.06
0.956,38,20.3,19,14,3.25
0.829,33.3,19.1,29,15.5,4.43
1.028,40.3,20.2,19,12.5,3.12
0.872,40.2,20.5,26,13.5,3.21
0.925,39.5,21.8,27,15.5,3.1
1.074,42.3,23,20,14,2.41
