e,wl,wp,ccq,phicq,Es
1.107,40.6,22.6,14,13.5,2.57
1.067,39.6,22.5,14,12.5,2.52
1.106,40.9,21.8,14,11.5,2.96
1.278,42.9,23.5,14,11.5,2.32
1.229,43.2,24.2,14,10,2.18
1.375,44,23.4,13,10,1.85
1.063,40.3,22.3,14,10,2.5
0.905,35.4,20.3,14,15.5,3.69
1.039,42.5,23.3,14,12,3.23
1.288,44.1,22.9,14,10,2.13
1.216,43.4,22.9,13,10,2.13
1.026,37.8,20.7,14,12.5,3.46
1.104,37.4,20.2,14,12.5,3.01
1.119,39.8,22.6,14,17.5,3.1
1.369,42.3,22.1,14,10.5,1.81
0.988,37.7,20.5,14,12.5,3.37
1.076,38.5,20,14,12.5,3.09
1.064,38.5,21,14,15,3.47
1.12,39.3,21.6,14,12.5,3.19
1.187,41.9,22.6,14,12.5,1.86
1.015,41.2,20.9,14,15,3.3
1.031,38.9,21.4,14,12.5,3.49
1.039,34.6,19.7,14,19.5,2.83
1.008,34.4,19.6,14,17.5,2.98
1.096,38.6,20.9,14,13.5,2.98
1.057,38,20.1,14,15,3.45
1.335,42.3,24.3,14,11.5,2.61
1.1,39.3,20.9,16,15,2.86
1.079,38.9,21.1,14,14,2.83
1.145,38.8,21,14,14,3.33
0.997,35.8,20.4,14,17.5,3.75
1.016,34.3,19.6,14,17.5,3.34
1.006,38.4,20.9,14,14,2.85
1.055,38.2,19.7,14,15,3.8
1.066,40,20.6,14,16,3.22
1.275,41.2,23.3,14,12,2.32
1.401,44.8,24.3,14,10.5,2.07
1.309,40.7,21.1,14,12,2.19
1.342,40.9,21,14,11.5,2.01
1.04,40.5,21.9,14,12.5,2.74
1.051,38.9,21.1,16,15.5,2.72
1.059,37.5,20.2,14,12.5,2.85
1.063,39.6,21.3,14,14,3.24
0.994,35.4,20.5,14,14,2.73
1.075,39.4,20.8,14,13.5,3.03
0.927,32.6,20.5,14,20.5,3.36
1.183,40.5,20.1,14,14,2.59
0.945,34,19,14,16,3.94
0.964,34.1,19.9,16,16,3.08
1.013,37.9,21.4,14,18.5,3.92
0.999,31.9,19.8,10,21.5,4.03
1.059,37.5,21.5,14,14,3.74
1.272,45,23.4,14,12.5,2.5
0.937,33,19.4,10,23,3.77
0.998,30.2,17.8,10,21,3.54
1.021,36,20.1,14,15.5,3.35
0.91,31.4,17.5,11,20.5,3.84
1.175,39.5,20.1,14,12.5,2.34
0.974,32.7,18.4,14,17,4.04
0.945,33.6,20.2,14,19,4.11
1.087,34.3,20.3,10,23,2.5
1.184,31.9,18.4,10,23,3.42
1.146,36.2,20.1,14,17.5,2.61
1.01,32.2,20.1,10,23.5,4.14
1.08,33.5,19.4,14,15.5,3.32
1.031,32.7,19,10,25,4.09
0.904,31.4,18.1,11,22.5,4.41
0.997,35.9,19.9,14,16,3.84
0.821,30.5,17.4,14,23,4.03
0.924,39.2,20.8,16,17.5,3.02
1.089,37.6,19.5,14,13.5,2.8
1.084,37.6,20,16,16,2.85
1.203,40.4,22.6,14,12,2.62
1.069,37.9,20.1,14,16,3.3
0.978,33.9,19.3,14,16,3.85
1.098,38.1,20.8,14,14,3.19
1.042,37.7,20.1,14,13.5,3.02
1.124,38.8,20.8,16,10,2.27
1.057,37.7,19.9,14,11.5,3.1
1.085,35.8,19.4,14,13.5,4.54
0.983,35.6,20.4,16,16,3.32
1.003,36.1,20.2,14,15,3.57
1.064,38,20.8,14,13.5,3.4
1.228,39,21.9,14,12.5,2.31
0.936,34.1,19.8,14,15,4.05
1.088,38.1,20.4,14,12.5,3.14
1.203,38.1,20.5,14,12.5,2.75
0.949,33.9,19.1,14,14,3.71
1.06,41.5,23.1,14,12.5,2.86
1.051,38.8,21.1,14,13.5,2.9
1.058,39.1,20.7,14,12.5,2.89
1.198,40.4,22.1,14,15,2.57
1.271,42,23.2,14,12.5,2.7
1.081,38.1,20.3,14,14,2.7
1.164,38.3,20.5,14,13.5,2.2
1.105,37.3,20.2,14,14,4.05
1.045,35.8,21,14,15,3.39
1.103,39.2,22,14,13.5,3.01
1.072,39,20.6,14,13.5,2.66
1.209,40.4,22.5,14,12.5,2.78
1.261,45.4,24.1,14,13.5,2.7
1.243,40.3,22.6,14,13.5,3.24
1.274,43,23.4,14,12.5,2.54
0.934,36.7,21.5,17,16,3.85
0.947,33.6,19.2,14,17.5,3.62
0.968,37,20,14,13.5,3.66
1.035,34.7,20.3,14,16,3.32
1.023,35,19.7,14,17.5,4.2
0.997,36.2,21.3,14,16,4.04
1.3,43.1,23.5,14,12.5,2.52
1.27,44,23.8,14,12,2.25
1.27,40.3,22.7,14,12.5,2.17
1.161,40.5,23,14,12.5,2.7
0.933,35.7,20.9,14,19,2.64
1.027,35.9,20.4,14,17.5,3.41
0.987,34,19.4,14,15.5,2.48
1.009,34.4,19.4,14,14,4.01
1.197,37.8,20.2,14,10.5,2.37
1.347,40.5,22.7,16,11.5,2.7
1.065,33.3,19.2,14,18.5,3.44
1.322,34.4,20.3,14,17.5,1.92
1.292,35.2,20.8,14,19.5,2.29
1.133,33.9,20,10,21.5,3.98
1.097,37.8,20.6,14,15,2.97
1.056,33.5,19.8,10,21,4.58
1.102,34.4,20.4,10,22.5,3.44
0.963,37.3,19.7,14,13.5,3.67
1.195,43.1,23.5,14,11.5,2.54
1.026,33.1,18.8,13,15.5,3.85
1.022,40,22.4,16,11.5,3.15
1.103,38.9,21.8,14,15.5,3.08
1.281,43.9,24.2,14,12.5,2.38
1.074,37.8,20.6,16,11.5,3.13
1.087,38.6,21.2,14,14,3.14
1.238,42.9,21.9,14,12.5,2.47
0.995,30.1,17.8,10,21,3.97
0.992,33.5,19.3,14,17.5,4.1
0.957,31.2,18.7,10,21,4.8
1.172,40.4,22.6,14,14,2.56
1.035,36.6,19.6,14,13.5,2.76
0.991,33.9,19.4,14,17,3.95
1.093,39,21.6,16,10.5,2.76
0.945,33.6,18.9,14,15,3.71
1.091,37.7,20.2,14,12.5,2.57
1.081,37.9,20.7,14,11.5,3.25
1.116,38.1,20.5,16,17,2.11
1.135,40.9,21.3,16,11.5,2.28
1.079,38.6,21.4,13,11.5,3.68
1.05,37.1,19.8,16,10,3.41
0.946,31.6,18.1,10,24,4.83
1.209,42,22.9,14,12.5,2.92
0.976,34.2,19.3,14,15,3.78
1.013,41.5,22.6,16,13.5,3.26
0.978,38.3,21,16,12.5,3.61
1.109,41.2,23,14,11.5,3.11
1.086,37.5,19.6,14,14,3.14
1.034,41.6,23.5,14,13.5,3.09
1.09,39.2,20.5,14,14,3.22
1.013,38.4,21.3,14,12.5,3.25
1.112,42.2,22.8,14,12,2.91
0.833,35.3,20.7,14,14,4.39
1.025,40.9,23.3,14,15,3.82
0.967,38.9,20.4,16,12.5,4.13
1.057,35.4,20.8,14,17.5,4.58
1.254,38,23.9,14,14,2.52
0.953,40,21.4,14,13.5,4.03
1.033,30.6,18.4,10,23,4.11
1.071,36.8,20.2,14,15,3.12
1.029,36.8,21,14,13.5,3.44
1.082,34.9,19.8,14,13.5,3.42
1.118,37.5,19.7,16,10,2.72
1.115,38.9,20.8,14,14,2.81
1.126,37.7,19.9,16,10.5,2.63
0.914,33.6,19.3,14,18.5,3.99
1.139,38.2,21,14,12.5,2.55
0.967,35.7,21,14,14,3.21
1.099,37.3,19.4,14,12.5,3.41
1.027,32.7,18.5,14,14,3.57
1.097,34.8,19.1,14,13.5,2.88
1.015,38.4,21.1,14,12.5,3.34
1.018,30.7,18.3,10,21,3.21
1.059,33.3,19.1,14,15,3.15
1.013,34.8,19.4,13,13.5,3.25
1.192,40.9,22,16,10.5,2.57
1.029,34.2,19.3,14,15,3.39
1.243,37,20.4,14,13.5,2.56
1.019,35.2,21,13,14,3.46
1.088,36.6,21.3,13,15.5,3
1.163,36.2,20.9,14,14,2.23
1.18,40,22.3,14,12.5,2.65
0.982,34.1,19.9,14,13.5,3.32
1.069,37.6,20.6,14,13.5,2.92
0.991,33,18.8,14,14,2.91
1.27,40.1,21.3,14,10.5,2.27
1.312,39.9,21.1,14,12.5,1.98
1.246,43.2,20.9,14,11.5,2.75
1.114,32.2,18.9,10,21,2.42
1.368,40.6,20.2,13,11.5,2.05
0.964,33.4,19.1,14,15,2.87
1.065,35.4,20.4,14,15,2.42
1.004,34.5,19.6,13,16,3.09
1.06,34.5,19.3,13,15.5,3.58
1.056,35,20.7,13,17,3.11
1.307,43.1,21.2,13,10,2.39
1.033,36.2,22.1,14,13.5,2.99
0.954,34.3,19.6,14,14,3.48
1.19,32.1,19.3,14,10.5,3.71
1.077,35,20.9,14,11.5,3.17
1.148,37.9,20.3,14,12.5,2.25
1.289,40.2,21,14,10,2.52
1.099,41.9,23.6,14,14,3.05
0.942,36.4,21,14,15.5,4.78
1.13,43.5,23.1,14,13.5,2.94
1.236,44.5,23.5,14,12.5,2.7
1.232,41.2,22.7,14,11.5,2.69
1.316,45.5,23.9,14,12,2.63
1.237,42.4,23.2,14,12,2.2
1.332,44.5,23.3,14,11.5,2.05
0.904,36.5,20.9,14,17,3.51
1.131,43.7,24.1,14,14,2.98
1.294,41.7,21.3,13,10,2.63
1.139,40.9,22.7,14,11.5,2.78
1.091,42,23.9,14,14,2.92
1.403,44.7,23,16,10.5,2.06
1.128,38.2,20.6,14,12.5,2.62
1.134,38,20.7,16,13.5,2.74
1.063,39.8,21.3,17,12.5,2.86
1.214,38.3,20,16,12,2.33
1.264,40.5,21.9,16,11.5,2.18
1.027,37.5,19.7,17,12.5,2.75
1.043,37.7,20.3,17,11.5,2.84
0.933,36.1,19.7,17,15.5,3.31
0.955,34.8,19.4,16,17,3.99
1.045,36.4,21,16,16,2.69
0.974,37.2,21,16,17,3.16
1.203,34.8,20.1,13,16,2.37
1.206,36.7,21.2,13,17,2.48
1.406,42.9,22.6,14,10.5,1.91
1.201,36.5,20.3,11,21.5,2.68
1.21,36.7,21.3,13,19,2.4
0.95,35.6,19,17,15.5,3.24
1.353,45.1,22.1,14,12.5,2.23
1.35,40.9,21.9,14,12.5,2.16
1.253,37.9,22.7,13,17,2.31
1.206,38.4,21.5,13,15.5,2.51
1.314,42.7,23,14,12.5,2.5
1.17,37.8,22.5,13,15.5,2.6
1.092,37.6,21.1,13,17,2.37
1.025,35.2,20.1,14,15.5,3.05
0.95,39.9,20.3,16,15,4.25
0.977,34,19,17,18.5,3.14
0.882,34.3,20.1,17,17.5,3.48
0.872,34.5,19.6,14,16,3.58
0.971,31,18.6,13,25,3.94
0.936,31.9,18.5,13,22.5,3.84
0.904,29.7,17.7,14,23,4.73
1.062,32,18.4,13,25,5.09
1.215,38.9,21.6,14,10,2.33
0.936,32.3,17.4,13,15.5,3.28
0.918,29.8,17.5,10,25.5,3.89
0.956,33.4,17.9,14,19.5,4.22
1.229,34.1,18.5,13,18.5,2.76
1.216,34.1,19.4,13,20.5,2.29
1.234,38,20.6,14,11.5,1.98
1.203,38.2,20.7,14,11.5,2.17
0.952,37.6,21.3,16,16,3.24
1.021,35.3,20.7,14,17,2.96
1.078,41.1,21.9,16,13.5,2.86
0.946,38,21.6,14,16,3.08
0.971,33.9,19.2,16,18.5,3.47
1.103,38.6,20.9,16,13.5,2.77
1.051,37.2,21.7,14,15.5,2.81
1.187,39.3,22.6,13,15,2.43
1.055,39.1,21.6,16,11.5,2.83
1.007,39,21.7,16,15,3.43
1.189,38.9,21.4,14,11.5,2.91
1.159,39.5,21.7,16,12,2.81
1.166,40.9,21.5,16,12,2.47
1.143,37.9,21,13,14,2.98
0.908,34.9,19.6,16,15.5,3.59
1.093,39,21.8,16,10,3.42
1.111,39.1,21.6,16,11.5,2.72
1.238,40.2,20.7,16,10.5,2.4
0.981,34.4,19.2,16,15.5,2.7
1.122,38.5,21.1,16,11.5,2.24
1.046,36.1,21.3,13,15,2.67
0.977,35.3,20.4,16,15.5,2.63
1.081,35.1,20.8,13,14,3.38
1.03,38.5,21,14,11.5,3.71
1.151,41.1,22.6,17,12,3.38
1.155,34.9,19.4,13,16,2.7
1.221,36.8,20,13,14,2.66
1.079,37.8,21.8,13,14,3.13
1.316,39.7,21.5,14,11.5,2.59
0.978,35,19.5,16,11.5,3.8
1.045,36.2,20.2,13,16,3.46
1.114,38.7,21.3,16,11.5,2.7
1.196,36.6,19.7,13,17,3.12
1.046,34.5,19.3,13,15,3.23
0.969,33.2,19.1,17,19,3.89
1.339,42.6,23.1,13,10,2.27
1.059,34.4,20.2,13,18.5,3.27
1.01,35.8,21.1,13,17.5,3.48
1.065,35.6,20.4,13,14,3.01
0.966,34.9,20.6,17,16,3.67
1.037,35.4,21.1,13,17,3.97
1.045,38.1,21,16,17.5,3.3
1.161,33.6,19.3,13,17.5,3.09
1.075,38.5,21.1,16,12.5,2.76
1.014,36.7,20.6,13,13.5,2.68
1.109,36.3,20.7,13,14,2.77
1.008,35.8,19.5,13,13.5,3.39
1.266,41.2,23.7,17,20,3.22
1.121,35.2,20.8,13,12.5,2.35
0.956,34.9,20.5,16,15.5,3.29
1.19,39.7,22.1,16,12,2.26
1.142,34.8,20,13,12.5,2.31
1.048,38.7,20.2,16,12,3.31
1.037,36.9,20.3,13,12,2.5
1.116,36.3,20.1,13,14,2.4
1.125,36.3,19.5,13,13.5,2.73
1.092,35.6,20.9,13,14,2.53
1.004,35.2,19.5,13,12.5,3.44
1.071,34.4,20.2,13,13.5,3.07
0.868,32.7,19.3,13,21.5,4.11
1.119,35.5,20.6,13,13,2.7
1.109,37.1,20.5,13,14.5,2.52
1.209,39.2,21.3,13,13,2.31
1.014,35.1,20.2,11,14.5,3.41
1.101,30.5,18.7,10,25.5,4.28
1.267,39.4,22.6,16,18.5,2.78
1.24,36.5,21,13,14,2.59
1.254,41.3,22.5,10,12.5,2.43
1.125,33.7,20.5,10,24,4.8
1.017,39.7,21.7,11,12.5,3.54
1.041,37.9,21.3,13,12.5,3.28
1.08,40.4,20.9,14,15,2.67
1.025,40.6,21.2,13,14,2.84
1.036,43.5,22,16,12,3.28
0.963,39.2,20.7,17,15,3.49
0.961,35.6,20.2,16,15.5,3.18
1.131,39.7,21.3,16,11.5,2.9
1.074,35,19.5,13,15,3.38
1.098,35.1,20,13,18.5,3.02
1.207,38.6,20.5,16,12.5,2.45
1.119,37.1,20.1,11,12.5,3.17
1.115,38.7,21.4,11,10,2.55
0.925,37.4,21.7,14,15.5,3.82
1.04,38,20.1,14,12,2.9
1.149,39.3,21.7,13,11.5,2.69
0.982,33.1,19,13,14,3.39
0.895,34,19.1,17,17,3.97
1.049,37.1,20.7,14,17.5,4.47
0.897,31.1,18.7,14,15,4.13
1.289,40.1,21.5,14,11.5,2.01
0.953,38.4,19.9,17,13.5,3.34
1.001,35.7,19.2,17,15.5,3.25
0.992,35.2,20.2,17,14,3.63
1.234,40.3,20.6,16,11.5,2.45
1.25,44.8,21.8,16,12,3.34
1.273,42.9,23.2,16,11.5,2.64
1.346,43.6,22.4,14,13.5,3.35
1.039,40.8,21.5,17,12,2.78
0.976,36.6,20,17,13.5,3.45
1.011,38,18.5,17,17,3.55
1.066,39.2,21.6,17,12.5,2.47
0.951,34.4,19.4,17,15,3.26
1.207,38.3,20.6,16,12,2.3
1.014,38.1,19.7,17,14,3.36
1.034,35.6,21,17,17,3.37
1.089,39.4,21.4,17,12.5,2.38
1.061,40.3,21.8,17,13.5,3.27
0.985,34.9,19.4,17,16,3.37
1.043,36.6,20.1,13,14,2.66
1.069,37.1,20.1,13,14.5,2.73
1.069,35.9,20.6,13,13,3.15
1.022,34.9,20.1,13,14.5,3.32
1.146,35.4,20.4,13,16,2.87
1.145,34.7,20.3,13,20.5,2.88
1.341,36.3,21.4,13,17.5,2.05
1.353,36.1,20.4,13,16.5,2.11
1.11,39.5,22.7,12,13,2.54
1.008,34.2,20.1,13,13.5,3.78
1.031,35.4,21.2,13,15,3.32
1.053,34.7,19.7,13,20,3.21
1.048,35.9,21.4,13,14,3.38
1.308,44,22.8,14,12,2.4
1.309,41,23.5,14,10,2.02
1.112,34.1,19.8,11,21.5,2.98
1.119,32.7,19.5,10,23.5,3.74
1.089,32.4,20.3,10,25,3.83
1.204,37.5,22.5,13,19.5,4.66
1.066,34.6,19.9,13,17,3.02
1.049,31.3,18.4,10,25.5,4.38
1.248,35.2,19.6,13,12.5,2.17
1.066,38,20.7,14,13.5,2.84
1.135,34.9,19.7,13,15,3.07
1.193,34.2,20.6,10,23,4.34
0.966,30.6,17.8,13,25,4.02
1.017,33.5,20,11,25,4.95
1.168,33.1,20.1,10,25.5,4.07
1.174,34.1,21,10,24,4.16
1.129,32,19.4,10,25.5,4.41
0.965,31.6,18,10,22.5,4.2
1.145,39.6,22.4,16,12,2.86
1.265,38.4,21.2,14,13.5,2.06
1.019,35.3,21.1,17,16,3.49
1.299,41.2,22.7,16,13.5,2.5
1.08,38.1,20.3,17,13.5,2.67
1.189,40,21.9,17,13.5,2.61
1.229,41,22.9,13,14,2.75
0.967,35.4,20.1,16,17,3.28
1.076,37.3,22,13,15.5,3.35
1.094,37.2,22.5,17,14,3.35
1.106,35,19.7,14,12.5,2.63
1.068,38.5,21.1,14,13.5,2.95
1.16,39.1,21.3,14,12,2.72
1.165,35.7,20.1,13,15.5,2.6
1.003,35.5,20.4,16,14,3.11
1.059,38.3,20.2,16,15,3.3
1.158,37.4,21.6,13,12.5,2.32
1.128,38.1,20.8,14,14,2.71
1.056,37.8,21.1,14,15,3.12
1.006,39.6,21.7,14,12,3.07
0.967,34.4,19.3,14,14,3.6
1.002,38.3,20.2,14,14,3.28
1.019,36,19.6,14,15,2.8
1.062,39.8,20.5,14,14,3.67
1.109,34.3,19.9,14,16,3.42
1.174,42.4,21.4,14,11.5,2.58
1.106,35.1,18.4,13,12.5,2.57
1.099,38.6,20.2,14,12.5,2.66
1.145,40.8,21.3,14,12,2.19
1.148,38,20.8,14,13.5,2.45
1.09,38.3,20.9,14,14,3.68
0.969,38.2,20.8,14,16,4.13
1.382,42.9,20.3,14,10.5,1.86
1.057,34.5,19.3,14,13.5,3.6
1.119,34.2,19.9,14,15.5,3.65
1.023,33.5,20.1,10,24,4.36
0.921,32.5,20.1,10,23,4.96
1.014,39.2,21.9,14,12.5,2.78
1.209,43.4,22.4,14,14,2.48
1.097,42.2,21.2,14,11.5,3.34
1.065,39.2,20.8,14,12.5,2.93
1.054,39.8,21.6,14,12,2.96
1.074,38.2,21.1,14,12,3.25
0.971,40.6,20.3,14,14,4
1.076,45,22.6,14,12.5,2.38
1.121,45.3,22.3,14,16,2.45
1.088,40.4,21.6,14,12.5,2.44
1.108,39.2,20.2,14,13.5,2.26
1.005,34.6,20.2,14,12.5,3.73
1.1,37.2,19.2,17,13.5,2.24
0.939,35.8,21.8,14,22.5,4.38
0.839,33.4,20.1,14,22.5,4.3
1.052,40.5,22.9,16,10,2.76
0.888,34.5,20.1,14,15,4.02
1.061,37.2,22.3,13,14,2.86
1.01,33.7,19.6,14,18.5,4.25
0.956,35.8,20.3,14,14,3.32
1.045,37.7,21.6,14,15,2.57
1.104,40.9,22.2,16,10.5,2.71
1.019,34.1,19.4,13,15.5,3.42
1.01,33.7,19,13,15,3.62
1.053,33.2,18.6,13,14,3.5
1.01,37.1,21.7,14,14,3.14
0.905,34.3,19,17,16,4
0.868,33.1,19,14,15.5,4.09
1.095,39.2,21.5,16,10,2.77
1.051,38.9,20.6,14,12,2.58
1.013,38.4,22.8,13,14,2.96
0.91,33.6,19.2,14,19,3.67
1.112,38.9,22.3,13,15.5,2.53
0.971,35.5,20.8,14,16,3.61
1.081,34.2,19.2,13,15,2.67
1.013,34.7,20.6,13,15.5,2.78
0.962,35.9,21.4,14,17,3.33
0.999,34.9,19.7,14,15,2.81
1.002,35.7,21.1,14,15,3.39
0.984,33.7,19.6,14,15,3.41
1.019,36.3,20.1,13,16,2.73
1.034,35,19.8,13,15.5,3.28
0.907,35.1,20.2,14,15,3.29
0.93,35.9,21.3,16,14,4.01
1.219,43.6,23.2,17,14,2.92
1.058,36.2,21.5,13,14,3.09
1.045,36.5,21.4,13,15.5,3.06
0.999,36.5,19.9,13,14,3.58
1.198,36.2,18.9,14,13.5,2.28
0.989,33.9,19.6,14,17.5,4.11
0.946,33.2,19,14,16,4.02
1.052,35,20.4,13,15,2.95
1.139,37,20.4,13,14,2.77
0.993,35.5,20,16,18.5,3.54
0.966,34,18.9,16,16,3.83
1.043,34.3,19.4,13,16,3.26
1.106,35.9,19.9,13,12.5,2.98
0.998,34.7,20.5,14,18.5,3.62
1.086,37,20.4,13,21,2.89
1.097,37.4,20.9,13,17.5,3.12
1.181,38.7,21.2,16,12,2.21
1.091,38.9,21.3,16,16,3.83
1.137,39.1,20.8,16,12,3.28
1.125,38.5,21.6,13,17.5,3.05
0.993,35.9,20.4,17,17,3.6
1.107,38.9,21.6,14,13.5,2.46
1.052,41,21.3,14,13.5,3.23
0.983,35.1,20.2,14,13.5,2.55
1.183,45.1,22.4,14,13.5,2.83
1.118,39.3,21.9,14,12.5,3.09
0.724,38.6,22.6,54,17.5,8.42
0.702,34.7,19.6,53,17.5,7.38
0.662,31.8,17.6,57,19,8.81
0.801,31.9,19.6,36,23.5,7.47
0.766,38.8,22.6,50,16,8.36
0.728,34.6,19.2,50,16,8.35
0.752,31.1,18.1,47,16,9.31
0.738,34.3,19,50,16,6.8
0.646,31.3,16.9,57,19,7.79
0.723,38.2,21.6,53,17,9.99
0.665,35.2,19.9,57,17,8.31
0.759,38,22.5,51,16,10.05
0.729,35.4,19.2,53,16,8.41
0.713,34.5,20.2,43,14,5.7
0.779,34.5,19.7,51,18.5,6.69
0.71,36.2,20.5,49,15,8.52
0.711,36.3,21.4,53,15.5,8.43
0.713,34.6,18.6,46,15.5,6.77
0.718,34.2,19.8,43,15.5,7.1
0.723,34.5,19.4,43,14,5.62
0.789,34.1,19.6,46,15.5,5.81
0.657,32,17.9,43,14,7.3
0.683,36.7,21.9,54,17,7.97
0.718,33.7,17.2,46,14,6.8
0.657,33.4,17.8,51,17.5,7.26
0.712,32.7,18.5,57,17.5,7.93
0.731,34.5,19.3,43,15,7
0.713,33.2,17.8,46,17,6.62
0.713,33.6,18.4,47,19,7.75
0.674,32.1,17.9,41,23,5.66
0.685,30.9,18.4,43,20.5,7.37
0.669,32.4,17.5,43,21,8.32
0.662,32,18,36,23.5,7.53
0.639,31.6,17.7,40,17.5,8.3
0.633,33.9,17.9,53,15.5,9.41
0.645,33,18.3,53,17.5,7.97
0.716,33.3,19.1,47,15.5,6.43
0.613,33.5,18.2,57,17,8.44
0.687,33.2,18.6,53,18.5,5.58
0.654,32.5,18.1,49,15.5,7.07
0.653,34.4,18.3,50,15.5,7.69
0.617,32.6,18.6,57,22.5,9.32
0.682,33,19.4,43,21,8.1
0.641,31.3,17.2,53,15.5,7.34
0.641,32.1,17.2,57,19.5,9.07
0.632,31.1,17.1,53,17.5,8.44
0.619,30.5,17.9,50,17,7.95
0.641,33.4,18.8,54,18.5,8.89
0.65,32.4,18.2,51,17,7.12
0.623,31.7,17.2,53,17,8.51
0.623,31.5,18.3,49,20.5,9.25
0.655,34.5,18.2,53,19.5,8.36
0.729,37.9,21.5,53,17,7.23
0.597,31.3,17.2,57,16,8.6
0.632,32.6,18.9,57,21,8.01
0.677,34.1,19.3,46,17,7.8
0.633,32.9,18.6,53,17,7.72
0.679,34.2,17.8,44,21.5,7.22
0.753,35.4,21.5,36,17.5,7.6
0.637,32.1,18.1,53,18.5,8.23
0.665,33.6,18.3,53,16,7.69
0.654,35.1,19.2,50,15.5,6.67
0.719,37.7,21.1,50,18.5,7.23
0.7,33.7,18,43,19,7.39
0.706,35.1,19.3,43,15,6.35
0.705,32.7,17.2,43,17,8.61
0.687,32.1,17.7,43,16,7.13
0.662,33.7,17.9,49,18.5,9.08
0.693,32.8,18.6,43,22.5,6.14
0.715,33.3,18.9,50,18.5,7.05
0.742,34.4,20.1,46,17,7.23
0.696,32.3,18,47,18.5,7.23
0.737,34,19.9,46,19.5,8.6
0.737,34.1,19.5,47,16,6.08
0.698,32.5,18,50,19.5,8.48
0.704,33.7,19.5,46,18.5,9.08
0.701,33.4,19.3,46,15.5,8
0.7,33,18.6,49,17,7.81
0.701,34,19.7,49,16,7.78
0.77,35.1,20,44,19,7.26
0.711,33.2,18.9,43,16,8.61
0.746,33.4,19.3,43,14,6.99
0.69,31.1,16.6,43,16,7.07
0.69,30.8,16.4,43,16,6.25
0.695,31,16.2,43,15.5,6.04
0.733,31.6,17.2,43,14,7.31
0.702,31.5,17.2,44,19,6.37
0.691,30.8,16.7,43,14,6.36
0.742,31.8,17.5,43,19.5,7.14
0.601,32.3,17.7,50,19.5,8.43
0.718,33.4,18.2,43,16,7.72
0.66,30.7,16.6,43,22.5,7.92
0.637,31.3,17.2,49,17.5,7.4
0.726,33.3,18.8,41,14,6.53
0.763,33.8,19.4,43,15.5,6.13
0.755,33.3,18,43,20.5,7.37
0.686,31,16.5,49,21,10.25
0.775,32.1,17.9,43,17,7.91
0.73,34.2,19,43,19.5,9.07
0.73,32.7,17.6,43,19.5,8.99
0.728,33.3,18.1,43,17,6.48
0.673,32.1,17.4,50,23,9.24
0.672,33.4,18.3,50,21,7.79
0.743,32.6,18.3,43,19,7.34
0.808,34,18.9,43,20.5,7.95
0.735,31.9,17.8,43,21,7.55
0.7,31.6,17.4,43,19,8.8
0.649,32.7,18.1,49,19,9.54
0.687,33.9,17.4,49,21.5,9.37
0.733,31.5,17.2,43,19.5,9.24
0.677,33.3,17.5,44,17,7.39
0.76,32,17.9,43,16,6.67
0.686,33.4,19,43,15,7.12
0.747,34.8,20.4,43,15.5,7.98
0.626,31.8,17.6,50,22.5,8.78
0.672,32.5,18.3,50,23,7.84
0.657,33.5,18.9,53,20.5,8
0.712,32.2,18,47,18.5,7.19
0.664,32.8,18,53,20.5,9.26
0.726,35.6,21.2,46,17,7.92
0.638,34.2,18.9,49,19.5,7.91
0.711,34.2,19.9,43,17.5,7.5
0.7,33.3,19,43,17,8.4
0.672,32.4,18.3,47,19.5,7.59
0.726,35,20.2,49,17.5,6.43
0.697,32.2,17.8,43,17,6.76
0.703,33.1,18.1,50,21,9.18
0.709,33,18.9,47,16,7.78
0.722,34,19.6,43,15.5,7.44
0.672,32.4,17.7,44,20.5,9.13
0.723,34.6,20.2,43,19,7.56
0.739,32.4,20.4,43,21,9.29
0.781,38.6,21.7,43,17,8.03
0.763,35,20.9,43,17.5,7.66
0.675,30.9,16.4,43,14,7.25
0.719,35.6,19.5,43,20.5,8.1
0.71,34.8,18.9,50,20.5,8.92
0.681,33.6,18.7,47,20.5,7.06
0.68,34.6,18.8,44,18.5,8.81
0.849,36.6,20.1,43,17,5.24
0.816,36.2,19.6,47,19.5,8.78
0.697,35.2,19.3,57,20.5,7.54
0.722,35.5,19.2,46,17.5,7.45
0.671,36.3,19.8,57,20.5,8.74
0.701,33.6,18.5,54,21,7.64
0.74,35.2,19.1,43,20.5,6.47
0.719,34.7,19.8,43,18.5,6.43
0.693,33,18.5,43,23.5,6.94
0.733,31.8,17.6,44,18.5,6.58
0.714,33.3,18.3,43,19.5,6.09
0.714,33.4,18.7,51,19,7.05
0.749,32.7,18.3,43,18.5,6.17
0.726,33.8,19,43,17.5,6.45
0.806,34.8,19.6,43,15.5,5.99
0.725,33.1,18.6,43,19.5,7.37
0.711,31.8,17.6,43,16,6.17
0.696,32.6,18.1,49,19,7.46
0.702,34,19.4,47,17.5,7.7
0.698,33.2,19,46,15,7.22
0.732,34.7,19.8,43,21,8.44
0.775,32.2,18.1,43,17.5,7.56
0.796,33.3,17.3,39,19,6.43
0.714,34.6,18.8,43,19.5,9.59
0.665,32.5,18.2,49,18.5,7.44
0.694,32.5,18.4,43,16,6.85
0.69,38,21,44,15,8.82
0.775,30.7,16.7,43,18.5,7.82
